Commodity,Arrival Date,Variety,State,District,Market,Min Price,Max Price,Avg price
Tomato,23/10/2023,Tomato,Karnataka,Haveri,Ranebennur,Rs 300 / Quintal,Rs 450 / Quintal,Rs 350 / Quintal
Tomato,20/10/2023,Tomato,Karnataka,Shimoga,Shimoga,Rs 400 / Quintal,Rs 600 / Quintal,Rs 500 / Quintal
Tomato,20/10/2023,Tomato,Karnataka,Davangere,Davangere,Rs 500 / Quintal,Rs 800 / Quintal,Rs 600 / Quintal
Tomato,20/10/2023,Tomato,Karnataka,Chamrajnagar,Chamaraj Nagar,Rs 300 / Quintal,Rs 600 / Quintal,Rs 450 / Quintal
Tomato,20/10/2023,Tomato,Karnataka,Kolar,Gowribidanoor,Rs 500 / Quintal,Rs 800 / Quintal,Rs 650 / Quintal
Tomato,20/10/2023,Tomato,Karnataka,Mandya,K.R. Pet,Rs 1000 / Quintal,Rs 1000 / Quintal,Rs 1000 / Quintal
Tomato,20/10/2023,Tomato,Karnataka,Mysore,Nanjangud,Rs 1515 / Quintal,Rs 2564 / Quintal,Rs 2222 / Quintal
Tomato,20/10/2023,Hybrid,Karnataka,Bangalore,Kanakapura,Rs 500 / Quintal,Rs 1100 / Quintal,Rs 800 / Quintal
Tomato,20/10/2023,Tomato,Karnataka,Kolar,Bangarpet,Rs 300 / Quintal,Rs 1200 / Quintal,Rs 700 / Quintal
Tomato,20/10/2023,Tomato,Karnataka,Bangalore,Ramanagara,Rs 500 / Quintal,Rs 1100 / Quintal,Rs 800 / Quintal
